;Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison;Pic_O3;Pic_J45;Pic_J182
0;acs;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;hiver;1;0;1
1;pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;hiver;1;0;0
2;bi;ble;ble;False;0.0;0.0;moyenne;sup a la moy;2018;hiver;1;0;0
3;bio;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;hiver;0;0;0
4;elev;ble;ble;False;0.0;0.0;moyenne;sup a la moy;2018;hiver;1;0;0
5;ref;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;hiver;1;0;0
6;acs;ble;ble;False;0.0;1.0;basse;inf a la moy;2018;hiver;0;0;0
7;pn;ble;ble;False;0.0;1.0;basse;inf a la moy;2018;hiver;0;0;0
8;bi;ble;ble;False;0.0;0.0;basse;inf a la moy;2018;hiver;0;0;0
9;bio;ble;ble;False;0.0;1.0;basse;inf a la moy;2018;hiver;0;0;0
10;elev;ble;ble;False;0.0;1.0;basse;inf a la moy;2018;hiver;0;0;0
11;ref;ble;ble;False;0.0;1.0;basse;inf a la moy;2018;hiver;0;0;0
12;acs;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
13;pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
14;bi;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;0;0;1
15;bio;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;0;1
16;elev;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
17;ref;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
18;acs;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps;0;1;1
19;pn;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps;0;1;1
20;bi;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps;1;1;1
21;bio;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps;0;1;1
22;elev;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps;0;1;1
23;ref;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps;0;1;1
24;acs;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
25;pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;0;1;1
26;bi;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
27;bio;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
28;elev;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
29;ref;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
30;acs;ble;ble;False;1.0;1.0;moyenne;absence;2018;printemps;0;0;1
31;pn;ble;ble;False;1.0;1.0;moyenne;absence;2018;printemps;0;1;1
32;bi;ble;ble;False;0.0;1.0;moyenne;absence;2018;printemps;1;1;1
33;bio;ble;ble;False;0.0;0.0;moyenne;absence;2018;printemps;1;1;1
34;elev;ble;ble;False;1.0;1.0;moyenne;absence;2018;printemps;1;1;1
35;ref;ble;ble;False;1.0;1.0;moyenne;absence;2018;printemps;1;1;1
36;acs;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;1;0;0
37;pn;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;1;1;1
38;bi;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps;0;0;0
39;bio;ble;ble;False;0.0;0.0;moyenne;sup a la moy;2018;printemps;0;0;0
40;elev;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;0;0;0
41;ref;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;0;0;0
42;acs;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;0;0;0
43;pn;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;0;0;0
44;bi;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;1;0;1
45;bio;ble;ble;False;0.0;0.0;moyenne;sup a la moy;2018;printemps;0;0;0
46;elev;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;0;0;0
47;ref;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps;1;0;0
48;acs;ble;ble;False;1.0;1.0;elevee;sup a la moy;2018;printemps;0;0;0
49;pn;ble;ble;False;1.0;1.0;elevee;sup a la moy;2018;printemps;0;0;0
50;bi;ble;ble;False;1.0;1.0;elevee;sup a la moy;2018;printemps;0;0;0
51;bio;ble;ble;False;0.0;0.0;elevee;sup a la moy;2018;printemps;0;0;0
52;elev;ble;ble;False;1.0;1.0;elevee;sup a la moy;2018;printemps;1;1;0
53;ref;ble;ble;False;1.0;1.0;elevee;sup a la moy;2018;printemps;0;0;0
54;acs;ble;ble;False;1.0;0.0;moyenne;sup a la moy;2018;printemps;1;1;0
55;pn;ble;ble;False;1.0;0.0;moyenne;sup a la moy;2018;printemps;1;1;0
56;bi;ble;ble;False;1.0;0.0;moyenne;sup a la moy;2018;printemps;1;0;0
57;bio;ble;ble;False;0.0;0.0;moyenne;sup a la moy;2018;printemps;1;1;0
58;elev;ble;ble;False;1.0;0.0;moyenne;sup a la moy;2018;printemps;1;1;0
59;ref;ble;ble;False;1.0;0.0;moyenne;sup a la moy;2018;printemps;1;1;0
60;acs;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
61;pn;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
62;bi;ble;ble;False;1.0;0.0;elevee;absence;2018;ete;0;0;0
63;bio;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
64;elev;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
65;ref;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
66;acs;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;1;0;0
67;pn;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
68;bi;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
69;bio;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
70;elev;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
71;ref;ble;ble;False;0.0;0.0;elevee;absence;2018;ete;0;0;0
72;acs;escourgeon;sol_nu;False;0.0;0.0;elevee;sup a la moy;2018;ete;0;0;0
73;pn;ble;sol_nu;False;0.0;0.0;elevee;sup a la moy;2018;ete;1;1;0
74;bi;orge_de_printemps;sol_nu;False;0.0;0.0;elevee;sup a la moy;2018;ete;1;1;0
75;bio;triticale;sol_nu;True;0.0;0.0;elevee;sup a la moy;2018;ete;1;1;0
76;elev;escourgeon;sol_nu;False;0.0;0.0;elevee;sup a la moy;2018;ete;1;0;0
77;ref;orge_de_printemps;sol_nu;False;0.0;0.0;elevee;sup a la moy;2018;ete;1;1;0
78;acs;escourgeon;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;1;1;0
79;pn;ble;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
80;bi;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
81;bio;triticale;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2018;automne;1;1;0
82;elev;escourgeon;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
83;ref;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
84;acs;escourgeon;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
85;pn;ble;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
86;bi;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;1;1;0
87;bio;triticale;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
88;elev;escourgeon;sol_nu;False;0.0;1.0;moyenne;inf a la moy;2018;automne;0;0;0
89;ref;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;1;0;0
90;acs;escourgeon;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
91;pn;ble;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;1;1;0
92;bi;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
93;bio;triticale;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
94;elev;escourgeon;sol_nu;False;0.0;1.0;moyenne;inf a la moy;2018;automne;1;1;1
95;ref;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;1;1;0
96;acs;escourgeon;escourgeon;True;1.0;0.0;elevee;absence;2018;automne;1;1;0
97;pn;ble;ble;True;1.0;0.0;elevee;absence;2018;automne;0;0;0
98;bi;orge_de_printemps;sol_nu;False;0.0;0.0;elevee;absence;2018;automne;1;1;0
99;bio;triticale;sol_nu;True;0.0;0.0;elevee;absence;2018;automne;0;0;0
100;elev;escourgeon;escourgeon;True;1.0;1.0;elevee;absence;2018;automne;1;1;1
101;ref;orge_de_printemps;sol_nu;False;0.0;0.0;elevee;absence;2018;automne;0;0;0
102;acs;escourgeon;escourgeon;True;1.0;0.0;basse;sup a la moy;2018;automne;0;0;0
103;pn;ble;ble;True;1.0;0.0;basse;sup a la moy;2018;automne;0;1;0
104;bi;orge_de_printemps;sol_nu;False;0.0;0.0;basse;sup a la moy;2018;automne;0;0;0
105;bio;triticale;sol_nu;False;0.0;0.0;basse;sup a la moy;2018;automne;0;0;0
106;elev;escourgeon;escourgeon;True;1.0;0.0;basse;sup a la moy;2018;automne;0;0;0
107;ref;orge_de_printemps;sol_nu;False;0.0;0.0;basse;sup a la moy;2018;automne;1;1;0
108;acs;escourgeon;escourgeon;True;1.0;0.0;moyenne;sup a la moy;2018;automne;1;1;0
109;pn;ble;ble;True;0.0;0.0;moyenne;sup a la moy;2018;automne;1;1;0
110;bi;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;sup a la moy;2018;automne;1;1;0
111;bio;triticale;sol_nu;True;0.0;0.0;moyenne;sup a la moy;2018;automne;1;1;1
112;elev;escourgeon;escourgeon;True;0.0;0.0;moyenne;sup a la moy;2018;automne;1;0;0
113;ref;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;sup a la moy;2018;automne;1;0;0
114;acs;escourgeon;escourgeon;True;0.0;0.0;basse;absence;2019;hiver;0;0;0
115;pn;ble;ble;True;0.0;0.0;basse;absence;2019;hiver;0;0;0
116;bi;orge_de_printemps;sol_nu;False;0.0;0.0;basse;absence;2019;hiver;0;1;0
117;bio;triticale;sol_nu;True;0.0;0.0;basse;absence;2019;hiver;1;1;1
118;elev;escourgeon;escourgeon;True;0.0;0.0;basse;absence;2019;hiver;0;0;0
119;ref;orge_de_printemps;sol_nu;False;0.0;0.0;basse;absence;2019;hiver;0;0;0
120;acs;escourgeon;escourgeon;False;0.0;0.0;basse;inf a la moy;2019;hiver;1;0;0
121;pn;ble;ble;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
122;bi;orge_de_printemps;sol_nu;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
123;bio;triticale;sol_nu;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
124;elev;escourgeon;escourgeon;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
125;ref;orge_de_printemps;sol_nu;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
126;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;hiver;0;0;0
127;pn;ble;ble;False;0.0;1.0;moyenne;absence;2019;hiver;1;0;0
128;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;hiver;1;1;1
129;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;inf a la moy;2019;hiver;0;0;1
130;pn;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2019;hiver;0;1;0
131;bi;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;inf a la moy;2019;hiver;1;0;1
132;bio;triticale;triticale;False;0.0;1.0;moyenne;inf a la moy;2019;hiver;0;0;0
133;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;inf a la moy;2019;hiver;0;0;0
134;ref;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;inf a la moy;2019;hiver;1;1;1
135;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
136;pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;0;1;1
137;bi;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;sup a la moy;2019;hiver;0;0;1
138;bio;triticale;triticale;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;0;1;1
139;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;0
140;ref;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;sup a la moy;2019;hiver;0;1;1
141;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;0;1;1
142;pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
143;bi;orge_de_printemps;orge_de_printemps;True;1.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
144;bio;triticale;triticale;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
145;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;0
146;ref;orge_de_printemps;orge_de_printemps;True;1.0;1.0;moyenne;sup a la moy;2019;hiver;1;1;1
147;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;printemps;1;1;1
148;pn;ble;ble;False;0.0;1.0;moyenne;absence;2019;printemps;0;0;0
149;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps;0;1;1
150;bio;triticale;triticale;False;0.0;1.0;moyenne;absence;2019;printemps;0;1;1
151;elev;escourgeon;escourgeon;False;0.0;0.0;moyenne;absence;2019;printemps;0;0;0
152;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps;0;0;1
153;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;inf a la moy;2019;printemps;0;0;0
154;pn;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2019;printemps;1;0;0
155;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps;0;0;0
156;bio;triticale;triticale;False;0.0;0.0;moyenne;inf a la moy;2019;printemps;0;0;0
157;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;inf a la moy;2019;printemps;1;1;0
158;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps;0;0;0
159;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;printemps;1;0;0
160;pn;ble;ble;False;0.0;1.0;moyenne;absence;2019;printemps;0;0;0
161;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps;0;0;0
162;bio;triticale;triticale;False;0.0;0.0;moyenne;absence;2019;printemps;1;0;0
163;elev;escourgeon;escourgeon;False;1.0;1.0;moyenne;absence;2019;printemps;0;0;0
164;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps;0;0;0
165;acs;escourgeon;escourgeon;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
166;pn;ble;ble;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
167;bi;orge_de_printemps;orge_de_printemps;True;0.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
168;bio;triticale;triticale;False;0.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
169;elev;escourgeon;escourgeon;False;1.0;1.0;moyenne;sup a la moy;2019;printemps;0;0;0
170;ref;orge_de_printemps;orge_de_printemps;True;0.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
171;acs;escourgeon;escourgeon;False;1.0;0.0;moyenne;inf a la moy;2019;printemps;1;0;0
172;pn;ble;ble;False;1.0;1.0;moyenne;inf a la moy;2019;printemps;1;1;1
173;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps;1;1;1
174;bio;triticale;triticale;False;0.0;0.0;moyenne;inf a la moy;2019;printemps;1;0;0
175;elev;escourgeon;escourgeon;False;1.0;1.0;moyenne;inf a la moy;2019;printemps;1;0;0
176;ref;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps;1;1;1
177;acs;escourgeon;escourgeon;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
178;pn;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2019;printemps;0;1;1
179;bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;sup a la moy;2019;printemps;0;0;0
180;bio;triticale;triticale;False;0.0;0.0;moyenne;sup a la moy;2019;printemps;1;1;1
181;elev;escourgeon;escourgeon;False;1.0;0.0;moyenne;sup a la moy;2019;printemps;0;0;0
